Name,Country,Confederation,Position,Attack,Passing,P,Goals,Assists,WC_P,WC_Goals,WC_Assists
Kim Min-jae,South Korea,AFC,DEF,1,5,0,0,0,0,0,0
Hong Chul,South Korea,AFC,DEF,1,5,0,0,0,0,0,0
Lee Chung-yong,South Korea,AFC,MID,3,4,0,0,0,0,0,0
Nam Tae-hee,South Korea,AFC,MID,3,4,0,0,0,0,0,0
Lee Jae-sung,South Korea,AFC,MID,5,10,0,0,0,0,0,0
Hwang Hee-chan,South Korea,AFC,ATK,9,10,0,0,0,0,0,0
Hwang Ui-jo,South Korea,AFC,ATK,8,8,0,0,0,0,0,0
Son Heuing-min,South Korea,AFC,ATK,15,8,0,0,0,0,0,0
Matthew Ryan,Australia,AFC,GK,0,0,0,0,0,0,0,0
Milos Degenek,Australia,AFC,DEF,1,2,0,0,0,0,0,0
Bailey Wright,Australia,AFC,DEF,1,2,0,0,0,0,0,0
Aziz Behich,Australia,AFC,DEF,1,5,0,0,0,0,0,0
Harry Soutar,Australia,AFC,DEF,2,5,0,0,0,0,0,0
Trent Salisbury,Australia,AFC,DEF,2,4,0,0,0,0,0,0
Jackson Irvine,Australia,AFC,MID,5,4,0,0,0,0,0,0
Aaron Mooy,Australia,AFC,MID,5,10,0,0,0,0,0,0
Tom Rogic,Australia,AFC,MID,6,10,0,0,0,0,0,0
Awer Mabil,Australia,AFC,ATK,7,8,0,0,0,0,0,0
Adam Taggart,Australia,AFC,ATK,9,8,0,0,0,0,0,0
Saad Al Sheeb,Qatar,AFC,GK,0,0,0,0,0,0,0,0
Ro-Ro,Qatar,AFC,DEF,1,2,0,0,0,0,0,0
Abdelkarim Hassan ,Qatar,AFC,DEF,3,2,0,0,0,0,0,0
Boualem Khoukhi,Qatar,AFC,DEF,4,5,0,0,0,0,0,0
Al-Madhi Al Mukhtar,Qatar,AFC,DEF,2,5,0,0,0,0,0,0
Karim Boudaif,Qatar,AFC,MID,4,4,0,0,0,0,0,0
Abdulaziz Hatem,Qatar,AFC,MID,3,4,0,0,0,0,0,0
Mohamed Waad,Qatar,AFC,MID,3,10,0,0,0,0,0,0
Hassan Al-Haydos,Qatar,AFC,ATK,7,10,0,0,0,0,0,0
Akram Afif,Qatar,AFC,ATK,10,8,0,0,0,0,0,0
Almoez Azi,Qatar,AFC,ATK,10,8,0,0,0,0,0,0
Mohammed Al-Rubaie,Saudi Arabia,AFC,GK,0,0,0,0,0,0,0,0
Ali Al-Bulaihi,Saudi Arabia,AFC,DEF,1,2,0,0,0,0,0,0
Mohammed Al-Breik,Saudi Arabia,AFC,DEF,1,2,0,0,0,0,0,0
Mohammed Al-Khabrani,Saudi Arabia,AFC,DEF,2,5,0,0,0,0,0,0
Yasser Al-Shahrani,Saudi Arabia,AFC,DEF,2,5,0,0,0,0,0,0
Hattan Bahberi,Saudi Arabia,AFC,MID,4,4,0,0,0,0,0,0
Nawaf Al-Abed,Saudi Arabia,AFC,MID,4,4,0,0,0,0,0,0
Salman Al-Faraj,Saudi Arabia,AFC,MID,6,10,0,0,0,0,0,0
Salem Al-Dawsari,Saudi Arabia,AFC,MID,6,10,0,0,0,0,0,0
Abdullah Al-Hamdan,Saudi Arabia,AFC,ATK,10,8,0,0,0,0,0,0
Firas al-Buraikan,Saudi Arabia,AFC,ATK,10,8,0,0,0,0,0,0
Jalal Hassan,Iraq,AFC,GK,0,0,0,0,0,0,0,0
Ahmed Ibrahim,Iraq,AFC,DEF,1,2,0,0,0,0,0,0
Ali Faez,Iraq,AFC,DEF,1,2,0,0,0,0,0,0
Rebin Sulaka,Iraq,AFC,DEF,2,5,0,0,0,0,0,0
Ali Adnan,Iraq,AFC,DEF,2,5,0,0,0,0,0,0
Bashae Resan,Iraq,AFC,MID,4,4,0,0,0,0,0,0
Mohammed Qasim,Iraq,AFC,MID,4,4,0,0,0,0,0,0
Humam Tariq,Iraq,AFC,MID,6,10,0,0,0,0,0,0
Hussein Ali,Iraq,AFC,MID,6,10,0,0,0,0,0,0
Alaa Abdul-Zahra,Iraq,AFC,ATK,10,8,0,0,0,0,0,0
Mohanad Ali,Iraq,AFC,ATK,14,8,0,0,0,0,0,0
Khalid Eisa,UAE,AFC,GK,0,0,0,0,0,0,0,0
Walid Abbas,UAE,AFC,DEF,1,2,0,0,0,0,0,0
Fares Juma,UAE,AFC,DEF,1,2,0,0,0,0,0,0
Yousif Jaber,UAE,AFC,DEF,2,5,0,0,0,0,0,0
Abdulaziz Haikal,UAE,AFC,DEF,2,5,0,0,0,0,0,0
Ali Salmeen,UAE,AFC,MID,4,4,0,0,0,0,0,0
Majed Hassan,UAE,AFC,MID,4,4,0,0,0,0,0,0
Habib Al Fardan,UAE,AFC,MID,6,10,0,0,0,0,0,0
Khalil Ibrahim,UAE,AFC,MID,6,10,0,0,0,0,0,0
Ali Mabkhout,UAE,AFC,ATK,15,8,0,0,0,0,0,0
Khalfan Mubarak,UAE,AFC,ATK,10,8,0,0,0,0,0,0
Zeng Cheng,China,AFC,GK,0,0,0,0,0,0,0,0
Zheng Zheng,China,AFC,DEF,1,2,0,0,0,0,0,0
Mei Fang,China,AFC,DEF,1,2,0,0,0,0,0,0
Yu Dabao,China,AFC,DEF,4,5,0,0,0,0,0,0
Zhang Linpeng,China,AFC,DEF,2,5,0,0,0,0,0,0
Cai Huikang,China,AFC,MID,4,4,0,0,0,0,0,0
Zhang Xizhe,China,AFC,MID,4,4,0,0,0,0,0,0
Wu Xi,China,AFC,MID,6,10,0,0,0,0,0,0
Hao Junmin,China,AFC,MID,6,10,0,0,0,0,0,0
Yang Xu,China,AFC,ATK,10,8,0,0,0,0,0,0
Wu Lei,China,AFC,ATK,10,8,0,0,0,0,0,0
Ibrahim Alma,Syria,AFC,GK,0,0,0,0,0,0,0,0
Moayad Ajan,Syria,AFC,DEF,1,2,0,0,0,0,0,0
Amro Jenyat,Syria,AFC,DEF,1,2,0,0,0,0,0,0
Omar Midani,Syria,AFC,DEF,2,5,0,0,0,0,0,0
Hussein Jwayed,Syria,AFC,DEF,2,5,0,0,0,0,0,0
Ward Al Salama,Syria,AFC,MID,4,4,0,0,0,0,0,0
Mohammed Osman,Syria,AFC,MID,4,4,0,0,0,0,0,0
Mahmoud Al-Mawas,Syria,AFC,MID,6,10,0,0,0,0,0,0
Mohammad Marmour,Syria,AFC,MID,6,10,0,0,0,0,0,0
Omar Kharbin,Syria,AFC,ATK,10,8,0,0,0,0,0,0
Omar Al Somah,Syria,AFC,ATK,10,8,0,0,0,0,0,0
Faiz Al-Rushaidi,Oman,AFC,GK,0,0,0,0,0,0,0,0
Ali Al-Busaidi,Oman,AFC,DEF,1,2,0,0,0,0,0,0
Saad Al-Mukhaini,Oman,AFC,DEF,1,2,0,0,0,0,0,0
Mohammed Al-Balushi,Oman,AFC,DEF,2,5,0,0,0,0,0,0
Mohammed Al-Musalami,Oman,AFC,DEF,2,5,0,0,0,0,0,0
Salaah Al-Yahyaei,Oman,AFC,MID,4,4,0,0,0,0,0,0
Mohsin Al-Khaldi,Oman,AFC,MID,4,4,0,0,0,0,0,0
Ahmed Mubrarak Al-Mahaijri,Oman,AFC,MID,6,10,0,0,0,0,0,0
Raed Ibrahim Saleh,Oman,AFC,MID,6,10,0,0,0,0,0,0
Abdulaziz Al-Muqbali,Oman,AFC,ATK,10,8,0,0,0,0,0,0
Khalid Al-Hajri,Oman,AFC,ATK,10,8,0,0,0,0,0,0
Eldorbek Suyunov,Uzbekistan,AFC,GK,0,0,0,0,0,0,0,0
Islom Tukhtakhujaev,Uzbekistan,AFC,DEF,1,2,0,0,0,0,0,0
Oleg Zoteev,Uzbekistan,AFC,DEF,1,2,0,0,0,0,0,0
Murod Kholmukhademov,Uzbekistan,AFC,DEF,2,5,0,0,0,0,0,0
Rustam Ashurmatov,Uzbekistan,AFC,DEF,2,5,0,0,0,0,0,0
Ikromjon Alibaev,Uzbekistan,AFC,MID,4,4,0,0,0,0,0,0
Egor Krimets,Uzbekistan,AFC,MID,4,4,0,0,0,0,0,0
Otabek Shukurov,Uzbekistan,AFC,MID,6,10,0,0,0,0,0,0
Sanjar Kodirkulov,Uzbekistan,AFC,MID,6,10,0,0,0,0,0,0
Igot Sergeev,Uzbekistan,AFC,ATK,10,8,0,0,0,0,0,0
Eldor Shomurodov,Uzbekistan,AFC,ATK,10,8,0,0,0,0,0,0
Medhi Khalil,Lebanon,AFC,GK,0,0,0,0,0,0,0,0
Mohamed Zein Tahan,Lebanon,AFC,DEF,1,2,0,0,0,0,0,0
Mootaz Jounaidi,Lebanon,AFC,DEF,1,2,0,0,0,0,0,0
Joan Oumari,Lebanon,AFC,DEF,2,5,0,0,0,0,0,0
Nour Mansour,Lebanon,AFC,DEF,2,5,0,0,0,0,0,0
Adnan Haidar,Lebanon,AFC,MID,4,4,0,0,0,0,0,0
Nadar Matar,Lebanon,AFC,MID,4,4,0,0,0,0,0,0
"Hassan ""Moni"" Chaito",Lebanon,AFC,MID,6,10,0,0,0,0,0,0
Moahamed Haidar,Lebanon,AFC,MID,6,10,0,0,0,0,0,0
Rabih Ataya,Lebanon,AFC,ATK,10,8,0,0,0,0,0,0
Hilal El-Helwe,Lebanon,AFC,ATK,10,8,0,0,0,0,0,0
Tran Nguyen Manh,Vietnam,AFC,GK,0,0,0,0,0,0,0,0
Bui Tien Dung,Vietnam,AFC,DEF,1,2,0,0,0,0,0,0
Doan Van Hau,Vietnam,AFC,DEF,1,2,0,0,0,0,0,0
Do Duy Manh,Vietnam,AFC,DEF,2,5,0,0,0,0,0,0
Que Ngoc Hai,Vietnam,AFC,DEF,2,5,0,0,0,0,0,0
Nguyen Huy Heng,Vietnam,AFC,MID,4,4,0,0,0,0,0,0
Luong Xuan Truong,Vietnam,AFC,MID,4,4,0,0,0,0,0,0
Nguyen Quang Hai,Vietnam,AFC,MID,6,10,0,0,0,0,0,0
Nguyen Trong Hoang,Vietnam,AFC,MID,6,10,0,0,0,0,0,0
Nguyen Anh Duc,Vietnam,AFC,ATK,10,8,0,0,0,0,0,0
Nguyen Van Quyet,Vietnam,AFC,ATK,10,8,0,0,0,0,0,0
Amer Shafi,Jordan,AFC,GK,0,0,0,0,0,0,0,0
Fares Shelbaieh,Jordan,AFC,DEF,1,2,0,0,0,0,0,0
Ihsan Haddad,Jordan,AFC,DEF,1,2,0,0,0,0,0,0
Tareq Khattab,Jordan,AFC,DEF,2,5,0,0,0,0,0,0
Mohammad Al-Dmeiri,Jordan,AFC,DEF,2,5,0,0,0,0,0,0
Anas Al-Awadat,Jordan,AFC,MID,4,4,0,0,0,0,0,0
Mohammad Abu Zrayq,Jordan,AFC,MID,4,4,0,0,0,0,0,0
Nour Al-Rawabdeh,Jordan,AFC,MID,6,10,0,0,0,0,0,0
Saleh Rateb,Jordan,AFC,MID,6,10,0,0,0,0,0,0
Mahmoud Al-Mardi,Jordan,AFC,MID,10,8,0,0,0,0,0,0
Ali Olwan,Jordan,AFC,ATK,10,8,0,0,0,0,0,0
Pavel Matyash,Kyrgyzstan,AFC,GK,0,0,0,0,0,0,0,0
Mustafa Iusupov,Kyrgyzstan,AFC,DEF,1,2,0,0,0,0,0,0
Tamirlan Kozubaev,Kyrgyzstan,AFC,DEF,1,2,0,0,0,0,0,0
Valery Kichin,Kyrgyzstan,AFC,DEF,2,5,0,0,0,0,0,0
Azamat Baimatov,Kyrgyzstan,AFC,DEF,2,5,0,0,0,0,0,0
Bekzhan Sagynbaev,Kyrgyzstan,AFC,MID,4,4,0,0,0,0,0,0
Kairat Zhyrgalbek Uulu,Kyrgyzstan,AFC,MID,4,4,0,0,0,0,0,0
Akhlidin Shukurov,Kyrgyzstan,AFC,MID,6,10,0,0,0,0,0,0
Edgar Bernhardt,Kyrgyzstan,AFC,MID,6,10,0,0,0,0,0,0
Vitalij Lux,Kyrgyzstan,AFC,ATK,10,8,0,0,0,0,0,0
Mirlan Murzaev,Kyrgyzstan,AFC,ATK,10,8,0,0,0,0,0,0
Sayed Jaffer,Bahrain,AFC,GK,0,0,0,0,0,0,0,0
Waleed Al Hayam,Bahrain,AFC,DEF,1,2,0,0,0,0,0,0
Abdulla Al-Haza'a,Bahrain,AFC,DEF,1,2,0,0,0,0,0,0
Ahmed Abdulla,Bahrain,AFC,DEF,2,5,0,0,0,0,0,0
Sayed Redha Isa,Bahrain,AFC,DEF,2,5,0,0,0,0,0,0
Sayed Dhiya Saeed,Bahrain,AFC,MID,4,4,0,0,0,0,0,0
Kamil Al Aswad,Bahrain,AFC,MID,4,4,0,0,0,0,0,0
Abdulwahab Al-Malood,Bahrain,AFC,MID,6,10,0,0,0,0,0,0
Ali Madan,Bahrain,AFC,MID,6,10,0,0,0,0,0,0
Ismail Abdullatif,Bahrain,AFC,ATK,10,8,0,0,0,0,0,0
Sami Al-Husaini,Bahrain,AFC,ATK,10,8,0,0,0,0,0,0
Tawfiq Ali,Palestine,AFC,GK,0,0,0,0,0,0,0,0
Musab Al-Battat,Palestine,AFC,DEF,1,2,0,0,0,0,0,0
Mahommad Abu Malayah,Palestine,AFC,DEF,1,2,0,0,0,0,0,0
Musa Farawi,Palestine,AFC,DEF,2,5,0,0,0,0,0,0
Musa Saleem,Palestine,AFC,DEF,2,5,0,0,0,0,0,0
Mohamed Darwish,Palestine,AFC,MID,4,4,0,0,0,0,0,0
Mohammed Yameen,Palestine,AFC,MID,4,4,0,0,0,0,0,0
Tamar Seyam,Palestine,AFC,MID,6,10,0,0,0,0,0,0
Sameh Maraaba,Palestine,AFC,MID,6,10,0,0,0,0,0,0
Khaled Salem,Palestine,AFC,ATK,10,8,0,0,0,0,0,0
Shehab Qumbor,Palestine,AFC,ATK,10,8,0,0,0,0,0,0
Gurpreet Singh Sandhu,India,AFC,GK,0,0,0,0,0,0,0,0
Anas Edathodika,India,AFC,DEF,1,2,0,0,0,0,0,0
Pritam Kotal,India,AFC,DEF,1,2,0,0,0,0,0,0
Subhasish Bose,India,AFC,DEF,2,5,0,0,0,0,0,0
Sandesh Jhingan,India,AFC,DEF,2,5,0,0,0,0,0,0
Udanta Singh,India,AFC,MID,4,4,0,0,0,0,0,0
Rowlin Borges,India,AFC,MID,4,4,0,0,0,0,0,0
Anirudh Thapa,India,AFC,MID,6,10,0,0,0,0,0,0
Lallianzuala Chhangte,India,AFC,MID,6,10,0,0,0,0,0,0
Manvir Singh,India,AFC,ATK,10,8,0,0,0,0,0,0
Sunil Chettri,India,AFC,ATK,25,8,0,0,0,0,0,0
Chatchai Budprom,Thailand,AFC,GK,0,0,0,0,0,0,0,0
Manuel Bihr,Thailand,AFC,DEF,1,2,0,0,0,0,0,0
Tristan Do,Thailand,AFC,DEF,1,2,0,0,0,0,0,0
Philip Roller,Thailand,AFC,DEF,2,5,0,0,0,0,0,0
Suriya Singmui,Thailand,AFC,DEF,2,5,0,0,0,0,0,0
Phitiwat Sukjitthammakul,Thailand,AFC,MID,4,4,0,0,0,0,0,0
Ekanit Panya,Thailand,AFC,MID,4,4,0,0,0,0,0,0
Sarach Yooyen,Thailand,AFC,MID,6,10,0,0,0,0,0,0
Thitiphan Puangjan,Thailand,AFC,MID,6,10,0,0,0,0,0,0
Adisak Kraisorn,Thailand,AFC,ATK,10,8,0,0,0,0,0,0
Chenrop Samphaodi,Thailand,AFC,ATK,10,8,0,0,0,0,0,0
Ri Kwang-il,North Korea,AFC,GK,0,0,0,0,0,0,0,0
Kim Chol-bom,North Korea,AFC,DEF,1,2,0,0,0,0,0,0
Pak Myong-song,North Korea,AFC,DEF,1,2,0,0,0,0,0,0
Sim Hyon-jin,North Korea,AFC,DEF,2,5,0,0,0,0,0,0
Jang Kuk-chol,North Korea,AFC,DEF,2,5,0,0,0,0,0,0
Han Thae-hyok,North Korea,AFC,MID,4,4,0,0,0,0,0,0
Ri Yong-jik,North Korea,AFC,MID,4,4,0,0,0,0,0,0
Ri Un-chol,North Korea,AFC,MID,6,10,0,0,0,0,0,0
Jong Il-gwan,North Korea,AFC,MID,10,10,0,0,0,0,0,0
Pak Hyon-il,North Korea,AFC,ATK,10,8,0,0,0,0,0,0
Pak Kwang-ryong,North Korea,AFC,ATK,15,8,0,0,0,0,0,0
Rustam Yatimov,Tajikistan,AFC,GK,0,0,0,0,0,0,0,0
Iskandar Dzhalilov,Tajikistan,AFC,DEF,1,2,0,0,0,0,0,0
Tabrezi Davlatmir,Tajikistan,AFC,DEF,1,2,0,0,0,0,0,0
Akhtam Nazarov,Tajikistan,AFC,DEF,2,5,0,0,0,0,0,0
Davron Ergashev,Tajikistan,AFC,DEF,2,5,0,0,0,0,0,0
Amirbek Juraboev,Tajikistan,AFC,MID,4,4,0,0,0,0,0,0
Ehson Panjshanbe,Tajikistan,AFC,MID,4,4,0,0,0,0,0,0
Alisher Dzhalilov,Tajikistan,AFC,MID,6,10,0,0,0,0,0,0
Prarvizdzhon Umarbayev,Tajikistan,AFC,MID,6,10,0,0,0,0,0,0
Manuchekhr Dzhalilov,Tajikistan,AFC,ATK,10,8,0,0,0,0,0,0
Jahongir Ergashev,Tajikistan,AFC,ATK,10,8,0,0,0,0,0,0
Neil Etheridge,Philippines,AFC,GK,0,0,0,0,0,0,0,0
Alvaro Silva,Philippines,AFC,DEF,1,2,0,0,0,0,0,0
Luke Woodland,Philippines,AFC,DEF,1,2,0,0,0,0,0,0
Daisuke Sato,Philippines,AFC,DEF,2,5,0,0,0,0,0,0
Carli de Murga,Philippines,AFC,DEF,2,5,0,0,0,0,0,0
John-Patrick Strauss,Philippines,AFC,MID,4,4,0,0,0,0,0,0
Mike Ott,Philippines,AFC,MID,4,4,0,0,0,0,0,0
Stephan Schrock,Philippines,AFC,MID,6,10,0,0,0,0,0,0
Iain Ramsay,Philippines,AFC,MID,6,10,0,0,0,0,0,0
Angel Guirado,Philippines,AFC,ATK,10,8,0,0,0,0,0,0
Patrick Reichelt,Philippines,AFC,ATK,10,8,0,0,0,0,0,0
Mammet Orazmuhammedow,Turkmenistan,AFC,GK,0,0,0,0,0,0,0,0
Sohrat Soyunow,Turkmenistan,AFC,DEF,1,2,0,0,0,0,0,0
Serdar Annaorazow,Turkmenistan,AFC,DEF,1,2,0,0,0,0,0,0
Mekan Saparow,Turkmenistan,AFC,DEF,2,5,0,0,0,0,0,0
Abdy Basimow,Turkmenistan,AFC,DEF,2,5,0,0,0,0,0,0
Serdar Geldiyew,Turkmenistan,AFC,MID,4,4,0,0,0,0,0,0
Altymyrat Annadurdyyew,Turkmenistan,AFC,MID,4,4,0,0,0,0,0,0
Arlsanmyrat Amanow,Turkmenistan,AFC,MID,6,10,0,0,0,0,0,0
Ruslan Mingasow,Turkmenistan,AFC,MID,6,10,0,0,0,0,0,0
Didar Durdyyew,Turkmenistan,AFC,ATK,10,8,0,0,0,0,0,0
Wahyt Orazsahedow,Turkmenistan,AFC,ATK,10,8,0,0,0,0,0,0
Kyaw Zin Htet,Myanmar,AFC,GK,0,0,0,0,0,0,0,0
Kyaw Zin Lwin,Myanmar,AFC,DEF,1,2,0,0,0,0,0,0
Nanda Kyaw,Myanmar,AFC,DEF,1,2,0,0,0,0,0,0
Zaw Min Tun,Myanmar,AFC,DEF,2,5,0,0,0,0,0,0
David Htan,Myanmar,AFC,DEF,2,5,0,0,0,0,0,0
Yan Niang Oo,Myanmar,AFC,MID,4,4,0,0,0,0,0,0
Myo Ko Tun,Myanmar,AFC,MID,4,4,0,0,0,0,0,0
Maung Maung Lwin,Myanmar,AFC,MID,6,10,0,0,0,0,0,0
Hlaing Bo Bo,Myanmar,AFC,MID,6,10,0,0,0,0,0,0
Kyaw Ko Ko,Myanmar,AFC,ATK,10,8,0,0,0,0,0,0
Aung Thu,Myanmar,AFC,ATK,10,8,0,0,0,0,0,0
Pan Wen-chieh,Taipei,AFC,GK,0,0,0,0,0,0,0,0
Hung Tzu-kuei,Taipei,AFC,DEF,1,2,0,0,0,0,0,0
Wang Ruei,Taipei,AFC,DEF,1,2,0,0,0,0,0,0
Lin Cheng-yi,Taipei,AFC,DEF,2,5,0,0,0,0,0,0
Chen Ting-yang,Taipei,AFC,DEF,2,5,0,0,0,0,0,0
Chen Ye-wei,Taipei,AFC,MID,4,4,0,0,0,0,0,0
Wu Chun-ching,Taipei,AFC,MID,6,4,0,0,0,0,0,0
Wen Chih-hao,Taipei,AFC,MID,6,10,0,0,0,0,0,0
Chen Po-liang,Taipei,AFC,MID,9,10,0,0,0,0,0,0
Chen Hao-wei,Taipei,AFC,ATK,10,8,0,0,0,0,0,0
Chu En-le,Taipei,AFC,ATK,10,8,0,0,0,0,0,0
Yapp Hung Fai,Hong Kong,AFC,GK,0,0,0,0,0,0,0,0
Tsui Wang Kit,Hong Kong,AFC,DEF,1,2,0,0,0,0,0,0
Helio,Hong Kong,AFC,DEF,1,2,0,0,0,0,0,0
Roberto,Hong Kong,AFC,DEF,2,5,0,0,0,0,0,0
Festus Baise,Hong Kong,AFC,DEF,2,5,0,0,0,0,0,0
Wong Wai,Hong Kong,AFC,MID,4,4,0,0,0,0,0,0
Tan Chun Lok,Hong Kong,AFC,MID,4,4,0,0,0,0,0,0
Huang Yang,Hong Kong,AFC,MID,6,10,0,0,0,0,0,0
Xu Deshuai,Hong Kong,AFC,MID,6,10,0,0,0,0,0,0
Alex Akande,Hong Kong,AFC,ATK,10,8,0,0,0,0,0,0
Sandro,Hong Kong,AFC,ATK,10,8,0,0,0,0,0,0
Mohammed Ayash,Yemen,AFC,GK,0,0,0,0,0,0,0,0
Mohammed Boqshan,Yemen,AFC,DEF,1,2,0,0,0,0,0,0
Mudir Al-Radaei,Yemen,AFC,DEF,1,2,0,0,0,0,0,0
Mohammed Ba Rowis,Yemen,AFC,DEF,2,5,0,0,0,0,0,0
Mohammed Fuad Omar,Yemen,AFC,DEF,2,5,0,0,0,0,0,0
Hussein Al-Ghazi,Yemen,AFC,MID,4,4,0,0,0,0,0,0
Ahmed Al-Haifi,Yemen,AFC,MID,4,4,0,0,0,0,0,0
Alaa Al-Sasi,Yemen,AFC,MID,6,10,0,0,0,0,0,0
Abdulwasea Al-Matari,Yemen,AFC,MID,6,10,0,0,0,0,0,0
Emad Mansoor,Yemen,AFC,ATK,10,8,0,0,0,0,0,0
Ahmed Alos,Yemen,AFC,ATK,10,8,0,0,0,0,0,0
Hameed Al-Qallaf,Kuwait,AFC,GK,0,0,0,0,0,0,0,0
Amer Al-Fadhel,Kuwait,AFC,DEF,1,2,0,0,0,0,0,0
Dhari Said,Kuwait,AFC,DEF,1,2,0,0,0,0,0,0
Fahad Humood Al-Rashadi,Kuwait,AFC,DEF,2,5,0,0,0,0,0,0
Fahed Al Hajri,Kuwait,AFC,DEF,2,5,0,0,0,0,0,0
Fahad Al Ansari,Kuwait,AFC,MID,4,4,0,0,0,0,0,0
Sultan Al Enezi,Kuwait,AFC,MID,4,4,0,0,0,0,0,0
Adbullah Al Buraiki,Kuwait,AFC,MID,6,10,0,0,0,0,0,0
Faisal Zaid,Kuwait,AFC,MID,6,10,0,0,0,0,0,0
Bader Al Mutawa,Kuwait,AFC,ATK,10,8,0,0,0,0,0,0
Yousef Nasser,Kuwait,AFC,ATK,10,8,0,0,0,0,0,0
Ovays Azizi,Afghanistan,AFC,GK,0,0,0,0,0,0,0,0
Shafif Mukhammad,Afghanistan,AFC,DEF,1,2,0,0,0,0,0,0
Farzid Ataie,Afghanistan,AFC,DEF,1,2,0,0,0,0,0,0
Hassan Amin,Afghanistan,AFC,DEF,2,5,0,0,0,0,0,0
Zohib Islam Amiri,Afghanistan,AFC,DEF,2,5,0,0,0,0,0,0
Milad Intezar,Afghanistan,AFC,MID,4,4,0,0,0,0,0,0
Adam Najem,Afghanistan,AFC,MID,4,4,0,0,0,0,0,0
Farshad Noor,Afghanistan,AFC,MID,6,10,0,0,0,0,0,0
Faysal Shayesteh,Afghanistan,AFC,MID,6,10,0,0,0,0,0,0
Norlla Amiri,Afghanistan,AFC,ATK,10,8,0,0,0,0,0,0
Khaibar Amani,Afghanistan,AFC,ATK,10,8,0,0,0,0,0,0
Farizal Marlias,Malaysia,AFC,GK,0,0,0,0,0,0,0,0
Matthew Davies,Malaysia,AFC,DEF,1,2,0,0,0,0,0,0
Syahmi Safari,Malaysia,AFC,DEF,1,2,0,0,0,0,0,0
Aidil Zafuan Radzak,Malaysia,AFC,DEF,2,5,0,0,0,0,0,0
Sharul Saad,Malaysia,AFC,DEF,2,5,0,0,0,0,0,0
Danial Amier Norhisham,Malaysia,AFC,MID,4,4,0,0,0,0,0,0
Brendan Gan Seng Ling,Malaysia,AFC,MID,4,4,0,0,0,0,0,0
Baddrol Bakhtiar,Malaysia,AFC,MID,6,10,0,0,0,0,0,0
Syamer Kutty Abba,Malaysia,AFC,MID,6,10,0,0,0,0,0,0
Norshahrul Idlan Tahala,Malaysia,AFC,ATK,10,8,0,0,0,0,0,0
Safawi Rasid,Malaysia,AFC,ATK,10,8,0,0,0,0,0,0
Mohamed Faisal,Maldives,AFC,GK,0,0,0,0,0,0,0,0
Samdhooh Mohamed ,Maldives,AFC,DEF,1,2,0,0,0,0,0,0
Hussain Sifaau,Maldives,AFC,DEF,1,2,0,0,0,0,0,0
Haisham Hassan,Maldives,AFC,DEF,2,5,0,0,0,0,0,0
Mujuthaaz Mohamed,Maldives,AFC,DEF,2,5,0,0,0,0,0,0
Akram Abdul Ghanee,Maldives,AFC,MID,4,4,0,0,0,0,0,0
Mohamed Arif,Maldives,AFC,MID,4,4,0,0,0,0,0,0
Hamza Mohamed,Maldives,AFC,MID,6,10,0,0,0,0,0,0
Ahmed Imaz,Maldives,AFC,MID,6,10,0,0,0,0,0,0
Ali Ashfaq,Maldives,AFC,ATK,10,8,0,0,0,0,0,0
Asadhulla Abdulla,Maldives,AFC,ATK,10,8,0,0,0,0,0,0
